region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callwait,forward,confer,ebill,lninc,custcat,churn
Zone 2,13,44,Married,9,64.00,College degree,5,No,Male,2,No,No,Yes,No,3.70,0.00,0.00,7.50,0.00,37.45,0.00,0.00,110.00,0.00,No,No,No,No,No,Yes,No,No,4.16,Basic service,Yes
Zone 3,11,33,Married,7,136.00,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4.40,20.75,0.00,15.25,35.70,42.00,211.45,0.00,125.00,380.35,No,Yes,Yes,No,Yes,Yes,Yes,No,4.91,Total service,Yes
Zone 3,68,52,Married,24,116.00,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18.15,18.00,0.00,30.25,0.00,"1,300.60","1,247.20",0.00,"2,150.00",0.00,No,No,No,No,Yes,No,Yes,No,4.75,Plus service,No
Zone 2,33,33,Unmarried,12,33.00,High school degree,0,No,Female,1,No,No,No,No,9.45,0.00,0.00,0.00,0.00,288.80,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,No,3.50,Basic service,Yes
Zone 2,23,30,Married,9,30.00,Did not complete high school,2,No,Male,4,No,No,No,No,6.30,0.00,0.00,0.00,0.00,157.05,0.00,0.00,0.00,0.00,No,No,No,No,No,Yes,Yes,No,3.40,Plus service,No
Zone 2,41,39,Unmarried,17,78.00,High school degree,16,No,Female,1,Yes,No,Yes,No,11.80,19.25,0.00,13.50,0.00,487.40,798.40,0.00,570.00,0.00,No,No,No,No,Yes,No,No,No,4.36,Plus service,No
Zone 3,45,22,Married,2,19.00,High school degree,4,No,Female,5,No,No,Yes,No,10.90,0.00,0.00,8.75,0.00,504.50,0.00,0.00,415.00,0.00,Yes,No,No,Yes,Yes,No,No,Yes,2.94,E-service,Yes
Zone 2,38,35,Unmarried,5,76.00,High school degree,10,No,Male,3,Yes,Yes,Yes,Yes,6.05,45.00,50.10,23.25,64.90,239.55,"1,873.05","1,820.90",880.00,"2,256.70",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.33,Total service,No
Zone 3,45,59,Married,7,166.00,College degree,31,No,Male,5,Yes,No,Yes,No,9.75,28.50,0.00,12.00,0.00,449.05,"1,240.15",0.00,505.00,0.00,Yes,No,No,No,Yes,Yes,Yes,No,5.11,Plus service,No
Zone 1,68,41,Married,21,72.00,Did not complete high school,22,No,Male,3,No,No,Yes,No,24.15,0.00,0.00,16.50,0.00,"1,659.70",0.00,0.00,"1,155.00",0.00,Yes,No,No,No,No,No,No,No,4.28,E-service,No
Zone 2,5,33,Unmarried,10,125.00,College degree,5,No,Female,1,No,Yes,No,No,4.85,0.00,26.15,0.00,0.00,17.25,0.00,110.10,0.00,0.00,No,No,Yes,Yes,No,No,No,Yes,4.83,Basic service,Yes
