subscriberID,churn,gender,AGE,edu_class,incomeCode,duration,feton,peakMinAv,peakMinDiff,posTrend,negTrend,nrProm,prom,curPlan,avgplan,planChange,posPlanChange,negPlanChange,call_10000
19164958,1,0,20,2,12,16,0,113.666667,-8,0,1,0,0,1,1,0,0,0,0
39244924,1,1,20,0,21,5,0,274,-371,0,1,2,1,3,2,2,1,0,1
39578413,1,0,11,1,47,3,0,392,-784,0,1,0,0,3,3,0,0,0,1
40992265,1,0,43,0,4,12,0,31,-76,0,1,2,1,3,3,0,0,0,1
43061957,1,1,60,0,9,14,0,129.333333,-334,0,1,0,0,3,3,0,0,0,0
47196850,0,0,20,2,24,9,1,281.333333,309,1,0,0,0,2,2,0,0,0,1
51236987,1,1,17,2,13,5,0,348.333333,-29,0,1,1,1,3,3,0,0,0,1
51326773,1,1,45,2,52,7,1,214.5,-119,0,1,0,0,3,3,0,0,0,1
54271247,1,1,36,0,56,5,0,156.666667,55,1,0,0,0,1,1,0,0,0,1
70765025,1,1,17,2,21,17,1,26.666667,-63,0,1,3,1,3,3,0,0,0,0
70781923,0,1,10,1,36,10,1,255,-105,0,1,3,1,3,3,0,0,0,1
70782614,0,0,15,1,25,21,1,309.666667,74,1,0,0,0,4,4,0,0,0,1
70797166,0,0,43,1,30,10,1,199.666667,-122,0,1,3,1,3,3,0,0,0,0
70992941,1,0,59,3,32,16,0,261,-22,0,1,0,0,3,3,0,0,0,0
70995813,0,1,11,0,51,24,1,196,48,1,0,0,0,3,3,0,0,0,1
71000813,0,1,41,3,1,15,1,228.333333,-4,0,1,0,0,3,3,0,0,0,0
71001054,1,0,35,0,58,3,0,0,0,0,0,0,0,1,1,0,0,0,1
71008771,1,1,38,1,34,4,1,150.666667,-452,0,1,1,1,3,3,0,0,0,1
71011165,1,0,18,0,15,8,0,108.333333,-40,0,1,0,0,3,3,0,0,0,0
71014528,0,1,46,0,15,23,0,168.333333,-100,0,1,0,0,3,3,0,0,0,1
71015314,1,0,17,1,19,5,0,85.333333,-51,0,1,0,0,1,1,0,0,0,1
71021280,1,0,43,1,25,3,0,298,46,1,0,0,0,3,3,0,0,0,1
71034839,0,1,47,1,4,27,1,423,290,1,0,3,1,3,3,0,0,0,1
71039751,0,0,47,0,44,8,1,330.666667,130,1,0,0,0,3,3,0,0,0,1
71042016,0,0,16,1,31,12,0,279,-46,0,1,0,0,3,3,0,0,0,1
71052536,0,0,41,1,5,20,0,353.333333,-3,0,1,0,0,3,3,0,0,0,0
71053276,0,0,28,2,35,34,0,354,-1,0,1,0,0,3,3,0,0,0,1
71063215,1,0,35,1,38,14,0,200,-235,0,1,3,1,3,3,0,0,0,0
71067203,1,0,13,1,17,4,0,274.333333,-284,0,1,0,0,4,4,0,0,0,0
71068509,1,1,25,1,34,4,0,292.333333,31,1,0,0,0,3,3,0,0,0,1
71068869,0,0,21,1,35,13,1,275,117,1,0,0,0,2,2,0,0,0,1
71070721,1,0,30,1,38,4,0,260.666667,-533,0,1,0,0,3,3,0,0,0,1
71086825,1,1,14,2,24,12,0,277,50,1,0,0,0,3,3,0,0,0,0
71090688,0,1,21,2,45,14,1,557.333333,322,1,0,0,0,3,3,0,0,0,1
71098814,0,0,10,2,43,45,1,153.666667,233,1,0,0,0,2,2,0,0,0,0
71100952,0,0,32,1,17,22,1,43.333333,36,1,0,0,0,3,3,0,0,0,0
71101999,0,1,32,2,32,45,0,488.333333,23,1,0,3,1,3,3,0,0,0,1
71104526,1,1,27,1,8,13,0,54.666667,-67,0,1,0,0,3,3,0,0,0,1
71104876,0,0,46,1,5,14,1,181.333333,-166,0,1,3,1,3,3,0,0,0,0
71117733,0,1,32,1,12,32,1,245.666667,68,1,0,0,0,3,3,0,0,0,0
71120071,1,0,26,1,52,10,0,139.666667,-419,0,1,0,0,1,1,0,0,0,1
71125214,1,1,37,0,46,12,1,0,0,0,0,0,0,4,4,0,0,0,0
71125668,1,0,39,1,38,4,0,73.333333,54,1,0,0,0,1,1,0,0,0,0
71126318,1,1,20,1,10,13,0,149,-97,0,1,3,1,1,1,0,0,0,1
71131179,0,0,38,0,15,29,1,228.333333,-11,0,1,2,1,2,2,0,0,0,0
71139353,1,0,32,1,22,2,0,462.333333,220,1,0,3,1,1,1,0,0,0,0
71153632,0,1,67,1,42,19,1,71.666667,36,1,0,0,0,3,3,0,0,0,1
71158717,1,1,22,0,19,3,0,58,85,1,0,3,1,1,1,0,0,0,1
71170446,1,0,32,0,30,8,0,66,-151,0,1,0,0,3,3,0,0,0,0
71172578,1,0,24,2,38,4,0,281.333333,81,1,0,0,0,3,3,0,0,0,0
71184435,0,1,17,1,21,24,0,111.333333,-61,0,1,0,0,2,2,0,0,0,0
71189663,1,0,36,1,50,12,0,355.666667,133,1,0,0,0,3,3,0,0,0,1
71208609,0,1,27,0,15,24,1,221.666667,118,1,0,3,1,3,3,0,0,0,0
71211211,0,0,23,2,52,28,0,42,12,1,0,0,0,1,1,0,0,0,1
71215296,1,1,14,1,56,9,0,116.5,-233,0,1,0,0,3,3,0,0,0,0
71225444,0,0,20,0,33,7,1,98,26,1,0,0,0,3,3,0,0,0,0
71225781,1,0,21,1,6,3,0,435,302,1,0,0,0,4,4,0,0,0,0
