income,attractive,assets,edueduclass,Dated,income_rank,attractive_rank,assets_rank
3000,9,5.145476376,1,0,0,0,0
3000,14.5,40.643781041,4,1,0,0,1
3000,6,5.145476376,1,0,0,0,0
3000,1,7.0674341855,1,0,0,0,0
3500,14.5,3.7284,2,0,0,0,0
3500,28,12.569146178,3,0,0,1,0
3500,65.5,40.643781041,4,0,0,2,1
3500,9,10.527914639,2,0,0,0,0
3500,21,32.605966532,2,0,0,0,1
3500,9,9.525656575,1,0,0,0,0
3500,14.5,16.791366318,3,0,0,0,0
3500,6,16.791366318,3,0,0,0,0
4000,14.5,12.569146178,2,0,0,0,0
4000,65.5,40.643781041,4,0,0,2,1
4000,28,25.241965288,3,0,0,1,0
4000,65.5,21.19655186,3,0,0,2,0
4000,51,8.5340608303,3,0,0,2,0
4000,39.5,70.74692407,4,1,0,1,2
4500,39.5,40.643781041,3,0,0,1,1
4500,21,7.0674341855,1,0,0,0,0
4500,51,25.241965288,3,0,0,2,0
4500,65.5,25.241965288,2,0,0,2,0
4500,39.5,21.19655186,3,0,0,1,0
4500,14.5,79.813267719,4,1,0,0,2
5000,21,16.791366318,2,0,1,0,0
5000,28,21.19655186,1,0,1,1,0
5000,28,12.569146178,2,0,1,1,0
5000,28,93.617350269,4,1,1,1,2
5000,28,93.617350269,4,1,1,1,2
5000,39.5,93.617350269,6,1,1,1,2
5500,86.5,62.457939374,4,0,1,3,1
5500,65.5,25.241965288,4,0,1,2,0
5500,65.5,93.617350269,4,1,1,2,2
5500,28,93.617350269,4,0,1,1,2
5500,51,40.643781041,4,0,1,2,1
5500,96,40.643781041,4,0,1,3,1
5500,3,16.791366318,1,0,1,0,0
5500,65.5,62.457939374,4,1,1,2,1
5500,3,79.813267719,4,1,1,0,2
6500,65.5,48.581219671,3,0,1,2,1
6500,39.5,16.791366318,3,0,1,1,0
6500,39.5,54.869641134,2,0,1,1,1
6500,51,54.869641134,3,0,1,2,1
6500,65.5,70.74692407,4,1,1,2,2
6500,21,144.66757703,3,1,1,0,3
7000,3,40.643781041,4,0,1,0,1
7000,51,28.843176411,3,0,1,2,0
7000,96,118.65307691,5,1,1,3,2
7000,39.5,62.457939374,4,1,1,1,1
7500,92.5,54.869641134,4,0,2,3,1
7500,6,32.605966532,3,0,2,0,1
7500,14.5,70.74692407,4,0,2,0,2
7500,39.5,93.617350269,4,1,2,1,2
7500,14.5,79.813267719,4,1,2,0,2
7500,28,70.74692407,4,1,2,1,2
7500,96,144.66757703,6,1,2,3,3
7500,51,144.66757703,4,1,2,2,3
7500,92.5,217.96312747,6,1,2,3,3
9000,86.5,40.643781041,4,0,2,3,1
9000,51,28.843176411,3,0,2,2,0
9000,39.5,144.66757703,5,1,2,1,3
9000,86.5,112.43562085,5,1,2,3,2
9000,39.5,144.66757703,5,1,2,1,3
9000,79,127.08555593,4,1,2,3,2
9000,28,112.43562085,4,1,2,1,2
10000,39.5,48.581219671,4,0,2,1,1
10000,65.5,106.60714853,4,1,2,2,2
10000,65.5,127.08555593,4,1,2,2,2
10000,65.5,183.38158634,5,1,2,2,3
10000,86.5,93.617350269,4,1,2,3,2
10500,51,48.581219671,3,0,2,2,1
10500,65.5,32.605966532,3,0,2,2,1
11500,79,32.605966532,3,0,3,3,1
11500,79,54.869641134,4,0,3,3,1
11500,65.5,79.813267719,4,0,3,2,2
11500,79,144.66757703,6,1,3,3,3
11500,92.5,165.81260373,6,1,3,3,3
11500,65.5,106.60714853,5,1,3,2,2
11500,92.5,165.81260373,5,1,3,3,3
11500,14.5,183.38158634,4,1,3,0,3
13000,39.5,62.457939374,3,0,3,1,1
13000,86.5,200.9452411,5,1,3,3,3
13000,65.5,127.08555593,5,1,3,2,2
14500,79,70.74692407,4,0,3,3,2
14500,79,93.617350269,5,1,3,3,2
14500,86.5,165.81260373,5,1,3,3,3
14500,79,118.65307691,5,1,3,3,2
15500,86.5,54.869641134,3,0,3,3,1
16000,65.5,200.9452411,5,1,3,2,3
17000,86.5,217.96312747,4,1,3,3,3
17000,65.5,183.38158634,4,1,3,2,3
17000,98,245.18636556,6,1,3,3,3
18500,51,273.48225842,4,1,3,2,3
19500,39.5,245.18636556,4,1,3,1,3
20500,65.5,315.42675842,5,1,3,2,3
24500,99.5,369.79925842,5,1,3,3,3
24500,39.5,369.79925842,4,1,3,1,3
24500,65.5,245.18636556,5,1,3,2,3
24500,21,486.31175842,5,1,3,0,3
34000,99.5,292.12425842,4,1,3,3,3
