application_id,vehicle_year,vehicle_make,bankruptcy_ind,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,fico_score,purch_price,msrp,down_pyt,loan_term,loan_amt,ltv,tot_income,veh_mileage,used_ind
592557,2000,CHEVY,N,4,8,71,,2,759,1143,66,614,33905,38319,0,66,24905,65,5416.67,1,0
769799,1999,FORD,N,0,62,317,15,7,41703,65042,64,668,31393,36644,2000,48,29393,80,5099.17,1,1
1094184,1996,FORD,,,,,,,,,0,,11800,11000,800,60,11000,100,3088,25000,1
1175166,0,,N,0,15,290,3,1,854,8400,10,633,4000,4495,400,36,3600,80,1583.33,0,0
1194461,1995,CHEVY,N,0,2,21,1,0,0,800,0,774,11300,10775,0,54,8300,77,6200,59000,1
1368933,1999,SATURN,N,0,36,363,20,16,52459,68890,76,655,17390,18195,1500,48,15890,87,6020,2300,1
1513475,1994,PLY,N,2,5,69,,2,2209,4527,49,638,5344,5575,0,42,5044,90,1500,38118,1
1559166,2000,DODGE,N,9,20,88,13,6,6287,5811,108,673,35732,28560,7172,60,28560,100,6516.67,449,0
1577611,1996,BUICK,N,4,18,124,2,1,71,8500,1,776,12499,11975,0,60,9499,79,2916.67,46282,1
1592795,2000,FORD,N,2,5,145,,,,,0,754,38439,42000,2000,60,36439,87,3766.67,1,0
1768594,2000,DODGE,N,0,1,10,,,,,0,655,28842.85,32125,1500,36,27342.85,85,2800,1,0
1783857,1998,FORD,N,0,27,125,15,11,21507,27376,79,635,19000,20625,1000,54,18000,87,4583.34,62,1
2040860,1998,FORD,N,0,5,24,6,4,1892,3142,60,622,10200,9975,0,60,10200,102,1500,24000,1
2167486,1999,FORD,N,2,10,241,,,9998,0,0,665,17128,17925,0,60,17128,96,2882,9808,1
2353293,1997,DODGE,N,0,13,242,4,3,1461,16400,9,785,18100,18000,2000,66,16100,89,1741.67,52000,1
2637663,2000,CHEVY,N,0,2,26,,1,214,1077,20,701,15500,15574,1750,66,13750,88,833.33,1,0
2814008,1999,OLDS,N,3,9,130,,,9998,9998,100,621,19113,16150,4000,60,16150,100,2628.33,5700,1
2958540,2000,JEEP,N,3,18,228,7,5,15692,19177,82,643,25946,24145,3500,72,21816,90,2200,1,0
2993359,1999,VW,N,1,5,52,,,9998,9998,100,645,16758.19,20000,0,72,16758.19,84,350,18000,1
3043524,2000,FORD,N,0,14,92,7,6,28126,37771,74,640,30085,23700,6085,60,26919,114,5600,1,0
3259066,1998,MERCURY,N,7,29,202,2,1,1047,32010,3,688,32500,24825,5200,66,27300,110,6000,10000,1
3365710,0,,N,0,24,133,4,1,217,1000,22,736,6351.88,7000,351.88,60,6000,86,4166.67,0,0
3406940,1998,KIA,Y,2,23,275,9,6,10562,17854,59,689,9075,9225,0,60,9075,98,5420,6867,1
3467116,1999,DODGE,N,0,15,63,5,2,2950,7000,42,707,10600,10425,600,60,10000,96,2083.33,14000,1
3580978,2000,PONT,N,0,4,21,,4,838,1900,44,677,28655,23000,500,72,22963,100,2100,1,0
3639180,1998,GEO,N,0,32,113,17,6,7440,16800,44,679,8750,7300,0,60,8000,110,2166.67,31000,1
3708643,1998,FORD,N,1,10,138,3,1,85,600,14,788,20568.25,15300,0,72,17368.25,114,4143,18000,1
3779797,1998,NISSAN,Y,4,13,169,5,4,6622,7119,93,626,13550,13325,500,60,13050,98,2356.8,38000,1
3806037,1993,TOYOTA,N,1,8,155,5,4,9067,26800,34,682,5378,5500,0,42,5378,98,2666.67,70000,1
3834176,1997,HONDA,N,0,13,344,5,3,1265,13846,9,780,17735,12625,1435,60,16300,129,2503.95,23972,1
3861895,1998,FORD,N,3,9,146,,2,379,1121,34,703,12133,9600,233,60,11900,124,3854,15910,1
