Goods,Types
白饭,熟食
白酒,酒精饮料
白兰地,酒精饮料
白面包,西点
半成品面包,西点
包装袋,百货
包装水果/蔬菜,果蔬
保鲜膜/袋,百货
报纸,百货
爆米花,零食
本地蛋类,肉类
冰淇淋,零食
布丁粉,米粮调料
餐巾,百货
茶,非酒精饮料
唱片,百货
超高温杀菌的牛奶,非酒精饮料
成品,熟食
宠物护理用品,百货
厨房毛巾,百货
厨房清洁剂,百货
厨房用具,百货
炊具,百货
醋,米粮调料
蛋黄酱,米粮调料
电灯泡,百货
发胶,百货
发酵粉,米粮调料
番茄酱,米粮调料
防腐用品,百货
肥皂,百货
粉红葡萄酒,酒精饮料
风味蛋糕,西点
腐蚀性清洁剂,百货
柑橘类水果,果蔬
干面包,西点
糕点,西点
根茎类蔬菜,果蔬
狗粮,百货
购物袋,百货
谷物,米粮调料
罐头蔬菜,米粮调料
罐头鱼,米粮调料
罐装啤酒,酒精饮料
罐装水果,米粮调料
果酱,米粮调料
汉堡肉,肉类
黑面包,西点
花卉种子,百货
花土/肥料,百货
黄油,米粮调料
火鸡,肉类
火腿,肉类
鸡,肉类
即食食品,熟食
即食汤,熟食
季节性商品,百货
家务用品,百货
坚果/李子,零食
坚果小吃,零食
酱油,米粮调料
芥末,米粮调料
卷装制品,百货
咖啡,非酒精饮料
开胃酒,酒精饮料
可可饮料,非酒精饮料
口香糖,零食
蜡烛,百货
朗姆酒,酒精饮料
酪,西点
冷冻餐饭,米粮调料
冷冻鸡肉,肉类
冷冻热狗肠,肉类
冷冻蔬菜,果蔬
冷冻水果,果蔬
冷冻甜点,肉类
冷冻土豆制品,果蔬
冷冻鱼,肉类
炼乳,米粮调料
烈酒,酒精饮料
马铃薯产品,熟食
马桶清洁剂,百货
猫食,百货
莓果,果蔬
蜜糖,米粮调料
面包干,西点
面包卷,西点
面粉,米粮调料
奶油,西点
奶油乳酪,西点
男性化妆品,百货
凝乳,米粮调料
凝乳酪,西点
牛肉,肉类
女性卫生用品,百货
盆栽,百货
烹饪巧克力,米粮调料
皮肤护理用品,百货
瓶装啤酒,酒精饮料
瓶装水,非酒精饮料
葡萄,果蔬
普罗赛克葡萄酒,酒精饮料
其他蔬菜,果蔬
其他饮料,非酒精饮料
起泡酒,酒精饮料
巧克力,零食
巧克力棉花糖,零食
切片奶酪,西点
清洁工具,百货
全脂牛奶,非酒精饮料
热带水果,果蔬
人造黄油,米粮调料
仁果类水果,果蔬
融化奶酪,米粮调料
柔软剂,百货
肉泥,肉类
软奶酪,西点
沙拉酱,米粮调料
水果/蔬菜汁,非酒精饮料
水果奶油涂抹酱,米粮调料
苏打,非酒精饮料
速溶咖啡,非酒精饮料
酸奶,食品类
酸奶油,米粮调料
汤类,熟食
糖,米粮调料
糖果,零食
糖水,熟食
特色奶酪,西点
特色巧克力,食品类
特色蔬菜,果蔬
特色油脂,米粮调料
特制门锁,百货
甜点,西点
甜食,西点
甜味剂,米粮调料
甜味烈酒调和剂,米粮调料
脱钙液,百货
碗碟,百货
威化饼,西点
威士忌酒,酒精饮料
卫生用品,百货
咸点心,西点
相片/膜,百货
香草,米粮调料
香肠,肉类
香辛料,米粮调料
小吃类食品,熟食
小食,食品类
卸妆液,百货
牙齿保健用品,百货
腌菜,食品类
盐,米粮调料
洋葱,果蔬
一般清洁剂,百货
一般肉类,肉类
一般饮料,非酒精饮料
医用酒精,百货
意大利面,熟食
婴儿化妆品,百货
婴儿食品,百货
硬奶酪,西点
油,米粮调料
有机蔬菜,果蔬
有机香肠,肉类
鱼,肉类
浴室清洁剂,百货
长面包,西点
猪肉,肉类
