"Goods","Num","Percent"
"全脂牛奶",2513,0.0579472871077086
"其他蔬菜",1903,0.0438812922268084
"面包卷",1809,0.0417137454746697
"苏打",1715,0.039546198722531
"酸奶",1372,0.0316369589780248
"瓶装水",1087,0.0250651416976042
"根茎类蔬菜",1072,0.024719256577582
"热带水果",1032,0.023796896257523
"购物袋",969,0.02234417875343
"香肠",924,0.0213065233933636
"糕点",875,0.0201766320012913
"柑橘类水果",814,0.0187700325132013
"瓶装啤酒",792,0.0182627343371688
"报纸",785,0.0181013212811585
"罐装啤酒",764,0.0176170821131275
"仁果类水果",744,0.017155901953098
"水果/蔬菜汁",711,0.0163949546890493
"酸奶油",705,0.0162566006410404
"黑面包",638,0.0147116471049415
"本地蛋类",624,0.0143888209929209
"冷冻热狗肠",580,0.013374224640856
"人造黄油",576,0.01328198860885
"咖啡",571,0.0131666935688427
"猪肉",567,0.0130744575368368
"黄油",545,0.0125671593608043
"凝乳",524,0.0120829201927733
"牛肉",516,0.0118984481287615
"餐巾",515,0.01187538912076
"巧克力",488,0.0112527959047202
"冷冻蔬菜",473,0.010906910784698
"鸡",422,0.00973090137662278
"白面包",414,0.00954642931261097
"奶油乳酪",390,0.00899301312057555
"威化饼",378,0.00871630502455784
"咸点心",372,0.00857795097654899
"长面包",368,0.00848571494454309
"甜点",365,0.00841653792053866
"糖",333,0.00767864966449143
"超高温杀菌的牛奶",329,0.00758641363248553
"汉堡肉",327,0.00754029561648258
"莓果",327,0.00754029561648258
"卫生用品",324,0.00747111859247815
"洋葱",305,0.00703299744045011
"特色巧克力",299,0.00689464339244126
"糖果",294,0.00677934835243388
"冷冻餐饭",279,0.00643346323241174
"其他饮料",279,0.00643346323241174
"油",276,0.00636428620840731
"酪",275,0.00634122720040584
"特制门锁",269,0.00620287315239698
"火腿",256,0.0059031060483778
"一般饮料",256,0.0059031060483778
"一般肉类",254,0.00585698803237485
"冰淇淋",246,0.00567251596836304
"切片奶酪",241,0.00555722092835566
"硬奶酪",241,0.00555722092835566
"猫食",229,0.00528051283233795
"葡萄",220,0.00507298176032467
"口香糖",207,0.00477321465630549
"粉红葡萄酒",189,0.00435815251227892
"一般清洁剂",189,0.00435815251227892
"白酒",187,0.00431203449627597
"腌菜",176,0.00405838540825974
"半成品面包",174,0.00401226739225679
"发酵粉",174,0.00401226739225679
"碗碟",173,0.00398920838425531
"面粉",171,0.00394309036825236
"盆栽",170,0.00392003136025088
"软奶酪",168,0.00387391334424793
"融化奶酪",163,0.00375861830424055
"香草",160,0.00368944128023612
"罐头鱼",148,0.00341273318421842
"意大利面",148,0.00341273318421842
"季节性商品",140,0.00322826112020661
"风味蛋糕",130,0.00299767104019185
"包装水果/蔬菜",128,0.0029515530241889
"芥末",118,0.00272096294417414
"冷冻鱼",115,0.00265178592016971
"保鲜膜/袋",112,0.00258260889616529
"水果奶油涂抹酱",110,0.00253649088016234
"烈酒",109,0.00251343187216086
"罐头蔬菜",106,0.00244425484815643
"冷冻甜点",106,0.00244425484815643
"盐",106,0.00244425484815643
"厨房清洁剂",103,0.00237507782415201
"花卉种子",102,0.00235201881615053
"卷装制品",101,0.00232895980814905
"炼乳",101,0.00232895980814905
"宠物护理用品",93,0.00214448774413725
"相片/膜",91,0.0020983697281343
"蛋黄酱",90,0.00207531072013282
"巧克力棉花糖",89,0.00205225171213134
"甜食",89,0.00205225171213134
"蜡烛",88,0.00202919270412987
"狗粮",84,0.00193695667212397
"特色奶酪",84,0.00193695667212397
"冷冻土豆制品",83,0.00191389766412249
