transID,cumid,time,amount,type_label,type
9407,10001,14JUN09:17:58:34,199,正常,Normal
9625,10001,16JUN09:15:09:13,369,正常,Normal
11837,10001,01JUL09:14:50:36,369,正常,Normal
26629,10001,14DEC09:18:05:32,359,正常,Normal
30850,10001,12APR10:13:02:20,399,正常,Normal
32007,10001,04MAY10:16:45:58,269,正常,Normal
36637,10001,04JUN10:20:03:06,0,赠送,Presented
43108,10001,06JUL10:16:56:40,381,正常,Normal
43877,10001,10JUL10:20:41:54,-399,退货,returned_goods
46081,10001,23JUL10:16:35:45,0,赠送,Presented
51650,10001,05SEP10:15:53:48,0,赠送,Presented
52266,10001,11SEP10:17:17:51,0,赠送,Presented
52769,10001,17SEP10:12:47:43,120,正常,Normal
36050,10001,01JUN10:18:13:35,-295,退货,returned_goods
43207,10001,07JUL10:20:05:36,0,赠送,Presented
14812,10001,21JUL09:09:31:26,36,正常,Normal
24752,10001,12OCT09:10:39:32,300,特价,Special_offer
24779,10001,12OCT09:10:59:13,120,特价,Special_offer
30394,10001,31MAR10:20:29:48,0,赠送,Presented
33073,10001,14MAY10:13:31:23,239,正常,Normal
38441,10001,14JUN10:17:36:21,269,正常,Normal
49759,10001,16AUG10:21:00:56,180,正常,Normal
51758,10001,06SEP10:18:56:27,150,正常,Normal
25214,10001,18OCT09:13:48:31,169,正常,Normal
27652,10001,10JAN10:19:11:04,100,正常,Normal
28122,10001,21JAN10:15:50:28,0,赠送,Presented
42102,10001,01JUL10:19:11:04,0,赠送,Presented
3753,10002,15MAY09:16:44:52,249,正常,Normal
5560,10002,21MAY09:09:35:22,3,正常,Normal
21160,10002,04SEP09:14:51:57,-242,退货,returned_goods
37630,10002,09JUN10:17:08:55,0,赠送,Presented
39040,10002,17JUN10:14:19:45,20,正常,Normal
39801,10002,19JUN10:21:13:53,314,正常,Normal
33913,10002,20MAY10:18:55:13,224,正常,Normal
7401,10002,31MAY09:14:19:33,0,赠送,Presented
16161,10002,29JUL09:19:21:41,36,正常,Normal
29563,10002,03MAR10:10:14:24,179,正常,Normal
32325,10002,07MAY10:18:38:31,0,赠送,Presented
33901,10002,20MAY10:18:36:24,179,正常,Normal
38125,10002,12JUN10:19:48:36,399,正常,Normal
39906,10002,20JUN10:16:10:17,0,赠送,Presented
15743,10002,26JUL09:17:25:29,269,正常,Normal
26817,10002,24DEC09:14:20:29,7,正常,Normal
32800,10002,11MAY10:21:24:54,15,正常,Normal
42282,10002,03JUL10:11:43:16,0,赠送,Presented
4061,10003,15MAY09:19:03:11,319,正常,Normal
6263,10003,24MAY09:19:45:06,2,正常,Normal
21380,10003,06SEP09:12:51:56,2,正常,Normal
23443,10003,28SEP09:20:40:31,2,正常,Normal
27268,10003,02JAN10:20:19:39,156,特价,Special_offer
27349,10003,03JAN10:21:02:42,0,赠送,Presented
29953,10003,16MAR10:20:59:45,70,正常,Normal
30987,10003,16APR10:18:51:32,0,赠送,Presented
31073,10003,18APR10:19:42:15,479,正常,Normal
36991,10003,06JUN10:14:29:04,-224,退货,returned_goods
39828,10003,20JUN10:09:15:04,0,赠送,Presented
41327,10003,27JUN10:18:25:55,0,赠送,Presented
45701,10003,20JUL10:21:44:49,299,正常,Normal
47506,10003,01AUG10:14:49:06,18,正常,Normal
50947,10003,28AUG10:16:04:25,399,正常,Normal
31651,10003,01MAY10:19:40:36,215,正常,Normal
5239,10003,19MAY09:15:43:48,329,正常,Normal
20885,10003,31AUG09:16:11:01,439,正常,Normal
26080,10003,13NOV09:18:17:51,0,赠送,Presented
26606,10003,13DEC09:10:41:47,269,正常,Normal
33353,10003,16MAY10:15:00:17,0,赠送,Presented
47880,10003,03AUG10:11:03:45,0,赠送,Presented
49537,10003,15AUG10:19:32:50,359,正常,Normal
24511,10003,10OCT09:17:08:09,302,正常,Normal
30424,10003,01APR10:14:58:32,0,赠送,Presented
7726,10004,03JUN09:17:28:10,249,正常,Normal
12501,10004,05JUL09:19:00:15,18,正常,Normal
12593,10004,06JUL09:17:28:23,229,正常,Normal
14852,10004,21JUL09:17:55:01,45,正常,Normal
17107,10004,04AUG09:10:15:03,369,正常,Normal
19656,10004,20AUG09:20:00:52,224,特价,Special_offer
24195,10004,06OCT09:20:40:20,149,特价,Special_offer
30646,10004,08APR10:13:52:11,0,赠送,Presented
33243,10004,15MAY10:18:55:58,0,赠送,Presented
33349,10004,16MAY10:14:29:33,0,赠送,Presented
36539,10004,03JUN10:21:16:01,-40,退货,returned_goods
37983,10004,12JUN10:10:08:00,0,赠送,Presented
39763,10004,19JUN10:19:39:44,399,正常,Normal
45511,10004,19JUL10:18:01:22,381,正常,Normal
47531,10004,01AUG10:19:32:22,0,赠送,Presented
51027,10004,29AUG10:12:44:52,0,赠送,Presented
5098,10004,19MAY09:14:27:58,199,正常,Normal
12982,10004,09JUL09:17:30:55,0,赠送,Presented
21818,10004,10SEP09:17:10:23,269,正常,Normal
43046,10004,06JUL10:14:56:04,339,正常,Normal
44918,10004,16JUL10:19:27:28,0,赠送,Presented
22186,10004,13SEP09:14:54:15,17,正常,Normal
25114,10004,16OCT09:18:46:47,161,正常,Normal
26321,10004,26NOV09:20:38:32,149,正常,Normal
26695,10004,19DEC09:14:44:15,0,赠送,Presented
27845,10004,16JAN10:12:15:37,119,正常,Normal
32213,10004,06MAY10:19:23:24,0,赠送,Presented
34509,10004,23MAY10:11:10:07,36,正常,Normal
34687,10004,23MAY10:19:39:24,0,赠送,Presented
39773,10004,19JUN10:20:01:48,0,赠送,Presented
6757,10005,28MAY09:14:35:20,249,正常,Normal
13265,10005,11JUL09:14:10:56,75,正常,Normal
40751,10005,25JUN10:14:18:32,399,正常,Normal
45170,10005,18JUL10:17:34:18,0,赠送,Presented
50027,10005,18AUG10:18:25:36,0,赠送,Presented
13361,10005,11JUL09:19:49:19,0,赠送,Presented
30318,10005,29MAR10:20:23:50,359,正常,Normal
30665,10005,08APR10:19:53:48,-249,退货,returned_goods
40780,10005,25JUN10:14:40:47,299,正常,Normal
41981,10005,30JUN10:22:08:49,0,赠送,Presented
43604,10005,09JUL10:18:49:42,0,赠送,Presented
13012,10005,09JUL09:20:20:32,269,正常,Normal
35458,10005,29MAY10:15:49:22,404,正常,Normal
38677,10005,15JUN10:17:35:48,314,正常,Normal
23351,10006,27SEP09:20:10:22,58,特价,Special_offer
8403,10006,08JUN09:16:39:47,369,正常,Normal
15526,10006,25JUL09:20:05:08,269,正常,Normal
17579,10006,07AUG09:15:10:21,18,正常,Normal
21918,10006,11SEP09:16:54:55,-395,退货,returned_goods
22101,10006,13SEP09:11:32:14,14,正常,Normal
30725,10006,09APR10:20:58:26,249,正常,Normal
39556,10006,18JUN10:20:32:51,399,正常,Normal
39659,10006,19JUN10:14:41:40,0,赠送,Presented
43516,10006,09JUL10:13:06:44,279,正常,Normal
38306,10006,13JUN10:20:52:58,0,赠送,Presented
4681,10006,18MAY09:15:06:13,-89,退货,returned_goods
11598,10006,29JUN09:19:13:17,299,正常,Normal
27571,10006,09JAN10:17:02:14,471,正常,Normal
17353,10006,05AUG09:20:40:08,-249,退货,returned_goods
27846,10006,16JAN10:12:15:37,167,正常,Normal
41336,10006,27JUN10:19:03:17,0,赠送,Presented
31217,10007,24APR10:12:59:14,237,正常,Normal
31412,10007,28APR10:11:54:21,-239,退货,returned_goods
11392,10007,28JUN09:15:47:11,249,正常,Normal
12731,10007,07JUL09:19:07:30,90,正常,Normal
18155,10007,11AUG09:18:41:53,399,正常,Normal
30320,10007,30MAR10:14:16:16,269,正常,Normal
32795,10007,11MAY10:20:39:27,449,正常,Normal
36009,10007,01JUN10:17:22:48,0,赠送,Presented
45878,10007,22JUL10:16:01:40,0,赠送,Presented
46974,10007,28JUL10:16:53:11,54,正常,Normal
49473,10007,15AUG10:16:21:14,239,正常,Normal
53120,10007,22SEP10:09:52:05,449,正常,Normal
42217,10007,02JUL10:18:38:48,0,赠送,Presented
8123,10007,06JUN09:19:54:52,269,正常,Normal
19021,10007,16AUG09:15:28:28,179,特价,Special_offer
28854,10007,10FEB10:18:36:34,0,赠送,Presented
34282,10007,22MAY10:14:58:44,0,赠送,Presented
37677,10007,09JUN10:20:11:23,399,正常,Normal
38499,10007,14JUN10:19:37:34,0,赠送,Presented
45253,10007,18JUL10:20:56:24,0,赠送,Presented
46242,10007,24JUL10:16:02:06,0,赠送,Presented
53200,10007,22SEP10:14:53:49,180,正常,Normal
43537,10007,09JUL10:15:45:14,339,正常,Normal
20978,10007,01SEP09:20:00:18,30,正常,Normal
26650,10007,16DEC09:13:29:58,369,正常,Normal
39390,10007,18JUN10:16:02:52,0,赠送,Presented
3806,10008,15MAY09:17:20:42,45,正常,Normal
