,空值数,最大值,最小值
MEMBER_NO,0.0,62988.0,1.0
FFP_DATE,0,,
FIRST_FLIGHT_DATE,0,,
GENDER,3,,
FFP_TIER,0.0,6.0,4.0
WORK_CITY,2269,,
WORK_PROVINCE,3248,,
WORK_COUNTRY,26,,
AGE,420.0,110.0,6.0
LOAD_TIME,0,,
FLIGHT_COUNT,0.0,213.0,2.0
BP_SUM,0.0,505308.0,0.0
EP_SUM_YR_1,0.0,0.0,0.0
EP_SUM_YR_2,0.0,74460.0,0.0
SUM_YR_1,551.0,239560.0,0.0
SUM_YR_2,138.0,234188.0,0.0
SEG_KM_SUM,0.0,580717.0,368.0
WEIGHTED_SEG_KM,0.0,558440.14,0.0
LAST_FLIGHT_DATE,0,,
AVG_FLIGHT_COUNT,0.0,26.625,0.25
AVG_BP_SUM,0.0,63163.5,0.0
BEGIN_TO_FIRST,0.0,729.0,0.0
LAST_TO_END,0.0,731.0,1.0
AVG_INTERVAL,0.0,728.0,0.0
MAX_INTERVAL,0.0,728.0,0.0
ADD_POINTS_SUM_YR_1,0.0,600000.0,0.0
ADD_POINTS_SUM_YR_2,0.0,728282.0,0.0
EXCHANGE_COUNT,0.0,46.0,0.0
avg_discount,0.0,1.5,0.0
P1Y_Flight_Count,0.0,118.0,0.0
L1Y_Flight_Count,0.0,111.0,0.0
P1Y_BP_SUM,0.0,246197.0,0.0
L1Y_BP_SUM,0.0,259111.0,0.0
EP_SUM,0.0,74460.0,0.0
ADD_Point_SUM,0.0,984938.0,0.0
Eli_Add_Point_Sum,0.0,984938.0,0.0
L1Y_ELi_Add_Points,0.0,728282.0,0.0
Points_Sum,0.0,985572.0,0.0
L1Y_Points_Sum,0.0,728282.0,0.0
Ration_L1Y_Flight_Count,0.0,1.0,0.0
Ration_P1Y_Flight_Count,0.0,1.0,0.0
Ration_P1Y_BPS,0.0,0.99998861,0.0
Ration_L1Y_BPS,0.0,0.999993205,0.0
Point_NotFlight,0.0,140.0,0.0
